Is_Extrovert,Is_Sensor,Is_Thinker,Is_Judger
1,1,0,0
0,0,1,0
1,1,0,0
0,1,1,1
0,1,0,0
1,1,0,0
0,1,1,1
0,0,1,1
0,0,0,1
1,0,1,1
1,1,1,1
0,0,1,0
1,0,0,0
0,0,0,1
0,0,1,1
0,0,0,0
1,1,1,1
0,0,1,0
1,0,1,1
0,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
0,1,1,1
1,0,1,1
1,0,1,1
0,0,0,1
0,0,0,0
1,0,0,1
0,0,0,1
0,0,0,1
0,1,1,1
1,0,1,0
1,0,1,1
0,1,0,0
0,1,0,0
0,1,1,1
1,0,1,0
1,0,1,1
1,0,1,0
1,0,1,0
1,0,1,1
0,1,1,1
1,0,0,1
1,1,1,0
0,0,1,0
0,0,1,0
1,1,1,0
0,1,0,1
0,0,1,1
1,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
1,1,0,0
1,0,1,0
1,1,0,0
0,1,0,1
1,1,1,0
0,1,1,1
1,1,1,0
0,0,1,0
1,1,1,1
0,1,1,1
1,0,1,0
0,0,0,0
1,1,1,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,0,0
0,0,0,1
1,0,1,0
0,0,1,1
0,1,1,1
0,1,0,1
0,1,0,0
0,0,1,0
1,1,1,1
0,1,0,1
1,0,0,1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0,1
0,1,0,1
1,1,1,1
1,0,0,1
1,1,1,1
1,1,1,0
0,0,1,1
0,0,0,0
1,0,1,1
1,0,1,0
0,1,1,1
1,0,0,1
0,1,0,1
0,1,1,0
0,0,1,0
1,0,1,0
0,0,1,0
0,0,1,1
0,1,1,1
0,1,0,0
1,1,0,0
0,0,1,1
0,0,0,1
1,1,1,1
1,1,0,0
1,1,0,1
0,0,0,1
1,1,1,1
0,0,0,1
0,1,1,1
1,1,1,1
0,1,1,1
1,0,0,0
0,1,0,0
0,0,0,1
0,0,1,1
1,1,1,1
1,0,0,1
1,0,1,0
1,1,1,1
0,1,1,0
0,1,0,1
1,1,0,1
0,0,1,1
0,1,1,0
0,1,1,0
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,0
0,1,0,0
1,0,1,1
1,1,0,1
1,1,1,0
0,1,0,0
1,0,0,0
1,0,1,0
0,1,1,1
1,0,0,0
1,0,1,1
1,0,1,0
1,0,1,1
1,0,1,1
0,1,0,0
1,1,1,0
1,1,1,1
0,0,1,0
1,0,1,1
1,1,1,1
1,1,1,0
0,0,0,1
0,1,0,0
0,1,0,0
0,0,1,0
0,0,1,1
1,1,0,0
1,0,0,0
0,1,1,1
0,1,1,0
1,1,1,1
1,1,1,1
0,0,1,1
0,1,1,0
1,1,0,1
1,1,1,0
0,1,0,0
1,0,1,1
0,0,0,1
1,1,1,1
0,1,1,1
1,1,1,1
1,0,0,0
0,1,1,1
0,1,1,0
0,1,1,1
0,1,0,0
0,0,0,0
0,0,1,1
0,0,0,1
0,0,1,0
1,1,0,0
1,0,0,1
1,1,0,0
0,0,0,1
0,1,0,1
1,0,1,0
1,0,1,1
0,0,0,1
0,0,1,1
1,1,0,1
0,1,0,1
0,1,1,0
1,0,0,1
1,1,0,1
1,0,0,0
0,0,1,1
0,0,1,0
1,1,0,0
0,0,0,0
0,0,0,1
1,1,0,1
1,0,0,1
0,0,1,0
1,0,0,1
1,1,1,0
1,0,1,1
1,1,0,0
0,0,1,1
0,0,1,1
0,0,0,1
1,1,1,0
1,0,1,0
1,1,0,0
1,1,1,0
0,1,1,1
1,1,0,1
0,1,0,1
1,0,0,1
1,1,0,0
0,1,0,0
0,1,1,1
0,1,1,0
1,0,1,1
1,0,1,0
1,1,0,1
0,1,0,1
0,1,0,0
0,0,1,1
1,1,1,1
0,1,0,0
0,0,1,0
1,0,1,0
0,1,1,0
1,1,0,1
1,0,1,1
0,1,1,0
0,0,0,1
1,1,1,0
1,0,0,0
0,0,1,1
0,0,1,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,1
1,1,0,0
0,1,0,1
0,1,0,1
1,0,1,0
0,1,1,1
0,0,0,1
1,1,0,1
1,0,1,0
1,1,1,1
1,1,1,0
0,0,1,0
1,1,1,0
0,0,1,0
0,1,0,0
1,0,0,0
0,0,0,1
0,0,0,0
1,0,1,0
0,1,1,0
0,1,1,1
1,1,0,1
0,0,1,1
0,1,1,0
1,0,1,1
1,1,1,1
1,1,1,1
0,0,1,1
1,1,1,0
1,0,1,1
1,0,0,0
0,0,1,1
0,1,0,1
0,0,0,0
1,0,0,1
1,0,1,0
0,0,1,0
0,1,1,0
1,1,1,1
1,0,1,1
0,0,0,1
1,0,0,0
1,0,1,0
1,1,0,1
1,1,0,0
1,0,1,0
0,1,1,1
1,0,0,0
0,0,0,0
0,1,0,1
1,1,1,1
0,1,0,1
0,0,1,1
1,0,1,1
1,1,0,0
0,0,0,1
0,1,1,0
1,0,0,0
0,1,0,1
1,0,1,1
0,1,0,0
0,0,1,0
0,0,1,0
1,0,0,1
1,1,0,1
1,1,0,0
1,0,0,0
0,1,0,0
0,1,1,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,1
1,1,1,1
1,0,0,0
0,0,0,1
1,0,0,0
0,1,1,1
0,1,0,1
1,1,1,0
0,1,1,0
1,1,1,0
1,1,1,1
1,1,1,0
1,0,1,0
1,0,0,0
0,1,0,1
0,0,0,0
0,0,1,0
0,1,0,0
0,0,0,0
1,1,0,0
0,0,1,1
0,0,0,1
0,0,1,1
0,1,1,1
1,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
0,0,1,0
1,1,0,0
1,0,0,1
1,1,1,1
0,0,0,1
0,1,0,0
1,1,0,1
1,0,1,1
0,1,0,0
1,0,1,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,1,1
0,0,0,1
1,1,0,0
0,1,0,0
1,0,0,1
0,1,1,1
0,1,0,0
0,1,1,0
1,0,1,1
1,1,0,0
1,1,1,0
1,1,1,0
1,1,0,1
1,1,1,1
0,0,0,1
0,0,1,1
0,0,1,1
1,1,0,0
1,1,1,0
1,1,0,0
1,1,1,0
0,0,1,1
1,1,1,1
0,0,1,1
0,1,1,0
0,0,1,0
0,0,0,0
0,1,0,1
1,1,1,0
0,1,1,1
1,1,1,0
1,1,1,0
0,0,1,0
1,0,1,0
1,1,0,0
0,1,0,1
0,0,1,1
0,0,0,0
1,1,1,1
1,1,1,1
1,1,1,1
1,0,0,1
0,1,0,1
1,1,1,1
1,0,0,0
0,0,1,1
1,1,0,1
0,0,0,0
0,0,0,1
0,1,1,1
1,1,0,1
0,0,1,1
0,1,1,0
0,1,0,1
1,0,1,1
0,1,1,0
0,1,0,1
1,1,0,0
0,0,0,0
1,1,0,0
0,1,1,1
1,0,0,1
0,0,1,0
0,0,1,1
0,0,1,1
1,0,0,1
0,1,0,1
0,0,1,1
0,1,0,0
0,0,1,0
0,1,1,0
0,1,1,1
1,1,1,0
0,1,1,0
0,1,1,0
1,0,0,1
0,0,1,0
0,0,0,1
0,1,0,0
0,1,0,0
1,1,0,0
1,1,1,1
0,0,1,1
0,0,1,0
0,1,1,1
0,0,0,0
1,0,0,1
0,1,1,1
0,1,1,0
1,0,0,1
0,1,1,1
0,0,0,0
0,1,0,1
0,0,1,1
1,1,0,1
0,0,0,0
0,1,1,0
0,0,1,0
0,0,1,0
1,0,0,1
0,1,0,1
1,1,0,1
0,0,1,1
0,1,1,1
0,0,0,0
0,0,1,0
1,1,0,1
0,1,0,1
1,0,0,1
1,0,1,1
1,1,1,0
0,0,1,0
0,1,1,1
0,1,0,1
1,0,0,1
1,0,0,0
0,0,1,1
1,0,0,0
1,1,0,1
0,0,0,1
1,1,1,1
1,0,1,0
1,0,1,1
1,1,0,1
1,1,0,0
1,0,0,0
0,0,1,0
0,0,1,0
1,1,0,0
0,1,1,0
1,0,0,0
0,1,0,1
0,1,0,0
1,0,0,1
0,1,1,0
1,0,1,0
0,0,1,0
1,1,0,1
1,0,0,1
1,1,1,0
0,1,0,0
1,0,0,0
0,1,1,1
1,1,0,1
0,1,0,1
1,0,0,0
1,1,0,0
1,1,1,0
1,1,0,0
0,0,0,0
0,1,1,1
0,1,0,1
0,1,0,0
0,1,0,1
1,0,1,1
1,0,1,1
1,0,1,0
1,0,1,1
1,0,0,1
0,1,1,1
1,1,1,1
0,0,0,1
1,1,0,1
1,1,0,1
1,0,1,1
0,0,0,1
1,1,0,0
1,0,1,0
0,1,0,1
1,1,1,1
0,0,1,0
1,1,0,0
0,0,0,0
1,0,1,0
1,1,1,1
1,0,0,0
0,1,0,1
0,0,1,1
0,1,0,1
0,1,0,0
1,0,0,0
1,0,1,0
1,1,0,0
0,0,0,1
1,0,0,1
1,1,1,1
0,0,0,1
0,0,1,0
0,1,0,1
0,1,1,0
1,1,1,0
0,1,1,0
1,0,0,0
0,1,1,1
1,1,0,0
0,1,1,0
0,1,0,1
0,0,0,0
0,1,1,0
0,0,0,1
0,1,0,0
0,0,0,1
0,1,1,0
1,1,1,0
1,0,0,1
0,1,1,1
0,1,0,1
1,1,1,0
0,1,0,1
1,1,1,1
1,0,1,1
0,1,0,1
1,0,0,1
0,0,0,1
0,1,0,1
0,0,1,1
1,1,0,0
1,1,0,1
0,0,1,1
0,0,1,0
1,0,1,1
1,0,0,1
1,1,1,1
0,1,1,0
0,1,0,1
0,0,0,1
0,1,1,1
0,0,0,1
1,1,1,0
0,0,1,1
0,1,0,1
1,1,0,0
1,0,1,1
0,1,1,0
0,1,0,0
1,0,1,1
1,0,0,1
0,1,1,0
1,0,0,0
1,0,1,1
1,1,1,0
0,0,1,1
1,0,1,0
0,1,1,0
1,1,0,1
1,1,0,0
1,1,0,1
0,1,0,0
1,1,0,0
1,0,0,1
0,0,1,0
1,1,0,0
1,0,0,1
1,0,1,0
0,0,0,1
0,0,1,1
0,0,0,0
1,1,0,1
0,0,1,1
1,0,0,1
0,0,0,0
0,0,1,1
1,0,0,0
1,1,0,0
1,0,1,1
1,1,0,1
1,1,1,0
1,0,0,1
0,0,0,1
0,1,1,0
0,1,1,0
0,0,1,0
1,1,1,0
1,1,1,1
1,0,1,0
0,1,0,1
1,0,1,0
1,1,0,1
0,0,0,1
0,0,1,0
0,0,0,0
1,0,0,0
0,0,0,0
0,1,1,0
1,0,0,1
1,1,1,1
1,0,0,0
1,1,1,0
0,0,0,0
1,0,0,0
1,1,0,1
0,0,0,1
0,0,1,0
0,0,1,0
0,1,1,0
0,0,0,0
1,1,1,0
0,0,1,1
1,0,1,0
1,1,1,1
0,1,0,1
1,1,1,0
0,0,0,0
1,1,0,1
0,0,1,1
1,1,1,1
1,1,0,0
0,0,1,0
1,1,1,0
1,1,0,1
1,0,1,0
1,1,1,0
1,0,0,0
0,0,1,0
0,1,1,0
1,0,0,1
0,1,1,0
0,1,0,0
1,0,1,0
1,1,0,0
0,0,0,0
0,0,1,0
0,1,0,1
1,1,1,1
0,0,1,0
1,1,0,0
1,1,0,1
1,1,0,1
0,1,1,0
1,1,1,1
1,1,0,0
1,1,1,0
0,0,0,1
1,1,0,0
0,1,1,1
0,1,0,1
0,0,0,0
1,0,1,0
1,0,0,0
0,1,0,1
0,1,1,0
1,1,1,0
1,1,1,0
0,1,0,0
1,1,0,0
1,1,1,1
0,0,1,1
1,1,1,0
1,1,1,0
0,1,1,0
0,1,0,1
0,0,1,0
1,0,1,0
1,1,1,1
1,1,1,1
0,0,0,0
0,0,0,0
0,1,1,0
1,0,0,1
0,0,0,0
0,1,1,0
1,0,1,1
1,0,0,1
0,1,1,0
1,1,0,0
0,1,0,0
1,1,1,0
0,1,1,0
1,0,0,0
0,0,1,1
0,1,1,0
0,0,1,0
0,0,0,1
1,0,0,0
0,0,1,1
0,1,1,0
0,0,1,0
0,1,1,1
1,1,1,1
1,0,1,1
1,1,0,1
0,0,1,1
1,0,1,0
0,0,1,0
1,1,0,1
0,0,0,1
0,1,1,0
1,0,1,1
1,1,1,1
0,0,0,1
0,0,0,0
0,1,1,1
1,1,1,0
1,1,0,1
0,0,1,1
1,1,0,1
0,1,0,0
1,0,1,1
0,0,0,1
1,1,1,0
0,1,0,0
1,0,0,1
1,1,0,0
0,1,0,0
0,1,0,0
0,0,0,0
0,1,0,1
0,1,1,0
0,1,0,0
1,1,0,0
1,0,1,0
1,1,1,1
1,1,0,0
0,0,0,0
0,1,0,0
1,0,1,1
0,1,1,1
1,1,1,1
0,0,1,1
1,1,1,0
0,0,0,0
0,1,1,0
0,0,0,1
1,1,0,0
1,0,1,1
0,0,0,0
0,0,0,1
1,0,0,1
0,1,0,0
0,0,0,1
1,1,0,0
0,1,0,1
1,1,1,1
0,0,0,1
1,1,1,0
1,0,0,0
0,1,0,0
0,0,0,1
1,0,1,0
0,1,0,0
0,0,1,1
0,0,1,0
1,0,1,0
1,0,1,1
0,1,0,1
0,1,1,0
1,0,1,1
1,0,1,1
1,1,0,1
0,1,0,0
0,0,1,0
0,1,0,1
0,1,0,1
1,0,0,0
0,0,1,1
0,0,1,0
0,1,0,0
0,1,1,0
1,0,0,0
1,0,0,0
0,1,1,0
0,1,1,0
1,0,0,1
1,0,0,1
1,0,1,1
0,1,1,0
0,1,1,0
0,1,1,1
1,0,0,0
0,1,0,0
0,0,1,0
1,1,1,0
1,1,0,1
1,0,1,0
0,0,1,1
0,1,0,1
1,1,1,0
1,1,1,1
1,1,1,0
0,0,0,1
1,0,0,1
1,0,0,0
0,1,0,0
1,1,1,1
0,0,1,0
0,1,0,1
1,0,1,0
1,0,0,1
0,0,1,0
1,0,0,1
1,0,1,0
0,0,0,0
0,1,0,1
0,0,1,0
0,1,1,1
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,1
1,1,1,1
1,0,0,0
1,1,0,1
1,0,1,0
1,0,1,0
1,0,1,1
1,1,0,0
0,0,0,1
0,0,1,0
1,1,1,0
1,1,0,1
0,1,1,0
1,1,1,1
1,1,1,1
1,0,0,1
1,1,0,0
0,1,1,0
0,0,0,0
0,0,0,1
1,1,0,0
0,1,1,0
1,0,1,0
1,1,0,1
1,1,0,0
0,1,1,0
0,0,1,0
0,1,0,0
0,0,1,1
1,1,1,1
0,0,1,0
0,0,0,1
1,0,1,1
0,0,0,1
1,1,1,1
1,1,1,0
0,0,1,0
0,0,1,1
1,0,1,0
1,0,1,0
0,1,0,0
1,0,1,1
0,1,0,0
0,0,0,1
0,0,1,1
0,0,1,1
0,1,0,0
0,1,0,0
0,0,1,0
1,1,1,0
1,1,1,0
0,0,1,0
1,1,1,0
1,1,0,1
1,0,0,1
0,1,0,0
0,0,1,0
1,0,1,1
1,0,1,1
1,0,1,0
1,0,1,1
1,0,1,0
0,0,1,1
0,0,1,1
0,1,0,0
1,0,1,1
0,1,0,1
1,1,0,0
1,0,1,1
0,0,0,0
1,1,1,0
1,1,0,1
1,1,0,1
1,0,1,1
1,1,0,1
0,0,1,0
1,1,0,1
1,0,0,1
0,0,1,1
0,1,0,0
0,0,0,1
1,1,0,0
0,1,0,1
1,1,0,1
0,0,0,1
0,1,1,1
1,0,0,0
0,0,1,1
1,0,1,0
1,0,1,0
1,1,1,1
1,1,1,0
0,1,1,0
0,1,0,0
1,1,1,1
0,1,0,0
0,0,0,0
0,1,1,1
0,1,1,1
0,0,0,0
1,0,0,1
1,0,1,0
1,1,0,0
0,0,1,0
0,0,0,0
1,0,0,0
1,0,1,1
1,1,1,0
1,0,0,1
0,1,0,1
0,0,0,1
0,0,1,0
0,1,0,0
1,1,0,0
1,0,0,1
0,0,0,0
1,1,0,1
0,0,1,0
1,0,0,0
1,1,1,0
1,1,0,1
1,0,1,1
0,0,1,0
0,1,1,0
0,1,1,1
0,1,1,0
1,0,0,0
0,0,1,0
0,1,0,0
0,0,1,1
0,0,0,1
0,0,0,0
1,1,1,1
0,1,1,1
1,0,1,0
1,0,1,0
0,0,1,1
1,0,1,0
1,1,1,0
1,0,1,1
1,0,1,0
1,0,1,0
0,1,1,1
0,0,0,1
1,0,1,0
1,1,0,1
1,0,0,0
0,0,1,0
1,1,1,1
1,1,0,0
0,1,1,0
1,0,1,0
0,0,1,1
1,0,0,1
0,0,1,1
1,1,0,0
1,0,0,0
1,0,0,0
0,0,0,1
1,1,0,0
1,0,0,1
0,1,1,1
0,1,0,0
1,0,0,1
0,1,0,1
1,0,1,0
0,1,1,0
0,1,0,1
0,0,1,1
0,1,0,1
1,1,1,1
0,0,1,0
0,0,1,0
1,1,0,0
0,1,0,0
1,0,0,0
1,0,1,0
0,1,1,1
1,1,0,1
0,0,1,0
0,0,1,0
0,1,0,0
0,1,1,1
1,1,0,1
0,0,1,1
1,0,1,0
0,1,1,1
1,1,0,1
1,0,0,0
0,0,1,0
1,1,0,0
0,0,0,1
0,0,1,0
1,0,1,1
1,0,1,1
0,0,0,0
0,0,0,0
1,0,0,1
0,1,1,1
1,1,0,0
1,0,1,1
0,1,0,0
0,0,0,1
1,0,1,1
1,1,0,0
1,1,0,1
0,1,1,1
1,0,0,1
1,0,0,0
0,0,1,1
0,0,1,0
1,1,0,1
0,0,1,1
0,0,0,0
0,0,0,1
0,0,0,1
0,0,1,0
1,1,1,1
0,1,0,0
1,1,0,0
1,0,0,0
0,1,0,1
1,0,1,0
0,1,1,1
1,0,0,0
0,0,0,0
0,0,0,1
1,0,1,0
0,1,0,1
0,1,1,0
1,0,1,1
1,0,0,0
1,0,0,0
0,0,1,1
1,0,0,1
1,0,1,0
1,1,0,1
0,0,1,0
0,0,1,1
1,1,1,1
0,0,1,1
1,0,0,1
0,0,0,1
0,1,1,1
1,1,1,0
0,0,1,1
1,1,1,1
1,0,1,0
0,1,1,0
1,1,1,1
0,1,1,1
0,1,1,1
1,0,1,0
1,1,0,1
0,1,0,1
1,0,0,1
0,0,0,0
1,1,1,1
1,0,0,0
1,0,1,0
0,0,0,0
1,1,1,1
0,1,1,1
0,0,1,1
0,0,1,1
0,1,0,0
0,1,1,0
1,1,1,0
0,1,1,1
1,0,0,1
0,0,1,0
0,0,1,0
0,0,1,0
1,0,0,1
1,0,0,1
1,1,1,0
1,0,0,1
1,1,0,0
0,0,1,0
1,0,0,0
0,0,0,0
0,1,1,0
0,1,1,1
0,0,0,0
1,0,1,1
0,1,1,1
0,0,1,0
0,0,0,0
1,0,0,0
1,1,1,0
0,1,0,1
0,1,1,1
0,1,0,1
0,1,0,1
1,1,1,1
0,1,0,1
1,1,1,1
0,0,0,0
1,0,0,0
1,1,0,1
1,0,0,0
1,1,1,0
0,1,0,1
1,0,0,0
0,1,1,1
1,1,0,0
0,1,1,0
0,0,1,0
0,1,1,1
1,0,0,0
1,0,0,1
1,0,1,0
0,0,1,0
0,0,1,1
1,1,1,0
1,0,1,0
1,1,0,0
0,0,1,1
1,0,0,0
1,1,1,1
0,0,0,1
1,0,0,1
0,1,1,0
1,0,0,0
0,0,1,1
1,0,1,1
0,1,0,0
0,0,1,1
1,0,0,0
1,0,1,1
0,0,1,1
1,1,0,1
1,1,0,0
1,1,0,1
0,1,0,0
1,0,1,1
1,1,0,1
0,0,1,1
0,1,0,0
1,0,1,0
1,0,0,1
0,0,1,0
1,0,1,0
1,1,1,1
1,1,0,0
1,0,0,0
0,0,1,0
0,0,1,1
0,0,1,0
1,0,0,0
1,1,1,1
1,1,1,1
1,1,0,1
0,1,1,1
0,0,1,0
1,1,0,0
1,1,1,1
0,0,1,0
1,0,0,1
0,1,1,0
0,1,1,1
1,1,0,1
1,1,1,0
1,0,0,0
1,1,0,0
1,0,1,1
0,0,1,1
1,1,1,0
0,1,1,0
1,1,0,1
1,1,1,1
0,0,1,0
1,0,0,1
0,1,0,1
0,1,1,0
0,0,1,0
0,0,1,1
0,1,0,0
0,1,1,1
0,1,1,1
1,1,0,0
0,0,0,0
1,1,0,1
1,1,0,0
0,0,1,1
1,0,0,1
1,1,0,0
1,0,0,0
1,0,0,0
1,1,1,0
0,0,1,0
1,1,0,0
0,1,1,0
1,0,1,0
1,0,0,0
0,1,1,1
1,1,0,0
0,0,0,0
1,1,0,0
0,1,0,1
1,1,1,0
0,1,1,0
1,1,1,0
0,1,1,0
0,0,0,0
0,0,1,1
1,1,0,1
0,0,0,0
1,0,1,1
1,0,1,1
0,0,1,1
1,1,0,1
0,1,0,1
1,1,0,1
0,0,0,0
0,0,1,0
0,0,1,0
0,0,1,0
1,0,0,0
1,1,1,1
0,1,1,1
1,0,1,1
0,1,0,0
0,1,1,1
1,0,1,1
0,1,0,0
0,0,1,1
1,0,0,0
0,1,0,1
0,0,1,1
1,1,0,0
1,1,0,1
1,1,0,1
0,1,1,0
0,0,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,1
0,0,0,0
1,1,1,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,1,0,0
1,0,1,0
0,1,0,1
0,0,0,1
1,1,0,0
0,0,0,0
0,1,1,0
1,1,0,1
1,0,1,1
0,0,0,0
1,0,0,1
1,0,0,1
1,1,1,1
0,1,1,1
1,1,1,0
0,0,1,1
0,1,1,0
0,0,1,0
1,0,0,1
0,1,1,0
0,0,1,0
1,0,1,0
1,0,0,1
0,0,0,1
1,1,0,1
0,1,1,1
0,0,1,1
1,0,1,0
1,1,1,0
1,0,0,1
1,0,0,0
1,0,1,1
0,1,1,1
0,0,0,0
1,1,0,1
0,0,1,0
0,1,1,0
1,1,0,0
0,0,1,1
0,1,0,1
0,0,1,0
1,1,0,0
0,1,0,0
0,0,1,1
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,1
0,0,1,0
0,1,1,1
0,1,1,1
0,0,1,1
0,0,1,1
0,0,1,0
1,1,1,1
0,1,0,1
0,1,0,1
0,0,0,0
1,0,0,1
1,1,0,0
0,0,1,1
0,1,1,1
1,1,1,1
1,1,1,1
0,1,1,0
0,1,0,1
1,0,1,0
0,1,0,0
1,0,1,1
1,1,0,0
0,0,0,1
0,0,0,0
0,1,1,0
0,0,0,0
1,0,0,0
0,1,0,1
0,0,1,1
1,0,0,1
1,0,1,1
1,1,0,1
0,0,0,0
1,1,0,1
1,0,1,0
1,1,0,0
0,1,0,1
1,1,0,1
0,0,0,0
0,0,1,0
1,0,1,0
1,0,0,0
0,1,0,1
0,1,0,0
0,1,0,1
1,1,1,1
1,1,1,0
0,1,0,0
1,1,0,0
0,1,0,0
1,1,1,1
0,1,0,1
1,1,0,1
1,0,0,1
1,0,1,0
0,1,1,1
1,0,0,0
1,0,1,1
1,1,0,1
1,1,0,0
0,0,1,1
1,0,0,0
0,1,0,0
1,1,0,1
1,0,0,1
0,1,0,1
1,1,0,0
0,0,0,0
1,1,0,0
1,0,1,1
0,1,0,1
1,0,0,1
0,1,1,1
0,1,0,1
0,0,1,0
0,0,1,0
1,0,0,1
0,1,1,1
1,0,0,1
0,0,1,1
0,0,0,1
0,0,0,1
0,0,0,0
1,0,0,0
1,0,1,0
1,0,1,1
1,1,1,1
0,0,0,1
1,0,0,1
1,0,0,1
1,0,1,1
0,1,1,0
0,1,1,0
1,0,1,1
0,1,0,0
1,1,0,1
1,0,1,1
1,1,1,1
0,1,0,1
0,1,1,1
1,1,0,1
0,0,1,1
1,0,1,1
1,0,0,0
1,1,0,1
0,0,0,0
0,1,1,1
1,0,1,1
0,0,0,1
0,0,1,1
1,0,1,1
1,1,0,0
1,0,0,1
0,1,1,1
1,0,0,1
1,1,0,1
0,1,1,0
1,0,0,0
0,1,1,0
1,1,0,1
0,1,1,0
1,0,0,1
0,1,0,0
1,1,0,0
0,1,0,0
0,1,0,1
0,1,0,1
1,1,0,1
0,0,1,1
0,0,1,0
0,0,0,0
1,1,0,0
0,0,1,1
0,1,0,0
1,0,0,0
0,0,1,1
0,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,0,1,0
0,0,1,1
0,0,0,0
0,0,1,1
0,0,0,0
1,0,0,1
1,1,1,1
0,1,1,1
1,1,0,1
1,1,1,1
0,1,0,1
1,1,1,1
1,1,1,1
1,1,0,1
0,0,0,1
1,0,0,0
1,1,0,0
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
0,1,0,0
1,0,1,0
1,1,0,0
0,0,0,0
1,1,0,1
0,1,0,1
0,1,0,1
1,0,1,1
1,1,0,0
0,0,1,1
0,0,0,0
0,1,0,1
0,0,1,1
1,1,0,0
0,0,1,0
1,0,0,0
1,1,0,0
0,1,0,1
0,0,1,0
0,1,0,0
0,1,1,1
1,0,0,0
0,1,1,1
0,1,1,0
1,1,0,0
1,0,0,1
0,0,0,0
1,1,0,0
1,0,0,0
1,0,0,1
0,1,0,0
1,0,1,1
1,1,1,1
0,0,1,1
1,1,0,0
0,0,1,1
1,0,0,0
0,0,0,0
1,1,0,0
0,0,1,0
0,0,1,1
1,1,0,1
1,1,1,1
1,0,1,0
0,1,0,0
1,1,1,1
1,0,0,0
0,1,1,0
1,0,1,1
0,0,1,1
1,0,0,0
0,0,1,1
0,0,0,0
0,0,1,1
0,1,0,1
0,1,1,1
0,0,0,1
1,1,1,1
1,1,0,0
0,0,1,0
0,1,0,1
1,1,0,0
1,1,1,0
1,1,1,1
1,1,1,1
1,0,0,1
1,0,1,1
0,1,1,0
1,0,0,0
0,0,1,0
0,1,0,0
0,1,1,1
0,1,0,0
1,0,1,0
1,0,0,0
1,1,1,1
1,1,1,0
0,0,0,0
0,0,0,0
0,1,0,0
0,1,1,1
1,1,0,1
0,0,0,0
1,1,0,0
1,1,0,0
0,0,0,1
0,0,1,1
0,0,0,1
0,1,0,1
1,0,1,0
0,0,1,0
1,1,0,0
0,0,1,1
0,0,1,1
1,0,0,0
1,0,1,1
1,0,1,0
1,0,0,1
1,0,1,0
0,1,0,0
1,1,0,1
1,1,1,0
1,1,0,1
0,1,1,1
0,0,1,0
1,0,1,1
1,0,1,0
1,1,1,1
0,0,1,0
0,1,1,0
0,1,0,0
0,0,0,0
1,0,1,0
0,1,0,0
1,0,0,0
1,1,0,1
0,0,0,0
1,0,1,0
1,1,1,0
1,1,0,1
1,0,0,0
1,1,0,1
0,1,1,0
0,1,0,1
1,0,0,0
0,0,1,0
0,1,0,1
1,0,1,1
0,1,1,0
1,0,0,0
0,1,0,0
0,0,0,0
0,1,1,0
1,1,0,1
0,1,0,1
0,0,0,0
1,1,1,1
1,1,0,0
1,0,1,0
1,0,1,1
1,0,1,0
0,1,0,0
0,0,1,0
0,1,0,1
1,1,1,1
0,1,0,1
0,1,0,1
0,0,0,0
0,0,1,0
0,0,1,1
0,1,0,1
1,1,0,0
0,0,1,0
0,0,1,1
1,0,1,0
0,1,0,0
1,0,1,1
1,0,0,0
1,1,0,1
0,1,1,1
1,0,1,0
1,0,0,1
1,1,1,0
0,0,1,0
0,1,1,0
0,1,0,1
1,1,0,1
1,0,0,0
1,0,1,1
1,0,1,1
1,0,0,1
1,1,0,0
1,1,1,1
1,1,1,0
0,1,0,1
0,1,0,1
0,1,1,1
1,1,0,1
0,0,0,1
1,1,1,1
1,0,1,1
0,1,0,1
1,1,1,1
0,1,1,0
0,1,0,0
1,0,0,1
1,0,0,1
0,0,0,0
0,1,1,1
1,1,0,1
1,0,0,1
0,1,0,1
0,0,0,1
1,1,1,0
0,0,0,0
1,1,1,1
1,0,1,1
0,0,0,1
1,0,1,0
1,0,0,1
1,0,0,0
1,0,1,1
1,0,0,1
0,1,1,0
1,1,1,0
0,1,0,0
0,0,0,0
0,1,0,0
1,0,1,0
1,0,0,1
1,1,1,0
1,0,0,0
1,0,1,0
1,0,0,1
1,1,1,0
1,0,1,1
0,0,0,0
1,1,1,1
0,1,0,1
1,1,0,0
1,1,1,0
1,1,0,1
0,0,0,0
0,1,0,1
1,1,1,1
1,1,1,1
1,0,1,0
0,1,0,0
0,0,1,1
1,1,1,1
